"MIMAT_ID","Cleaned_MIMAT","hsa_miR.Accession","hsa_miR.TargetName"
"MIMAT0000062","MIMAT0000062","MIMAT0000062","hsa-let-7a-5p"
"MIMAT0004482","MIMAT0004482","MIMAT0004482","hsa-let-7b-3p"
"MIMAT0004484","MIMAT0004484","MIMAT0004484","hsa-let-7d-3p"
"MIMAT0000066","MIMAT0000066","MIMAT0000066","hsa-let-7e-5p"
"MIMAT0000067","MIMAT0000067","MIMAT0000067","hsa-let-7f-5p"
"MIMAT0000068","MIMAT0000068","MIMAT0000068","hsa-miR-15a-5p"
"MIMAT0000071","MIMAT0000071","MIMAT0000071","hsa-miR-17-3p"
"MIMAT0000076","MIMAT0000076","MIMAT0000076","hsa-miR-21-5p"
"MIMAT0000077","MIMAT0000077","MIMAT0000077","hsa-miR-22-3p"
"MIMAT0000081","MIMAT0000081","MIMAT0000081","hsa-miR-25-3p"
"MIMAT0000083","MIMAT0000083","MIMAT0000083","hsa-miR-26b-5p"
"MIMAT0004500","MIMAT0004500","MIMAT0004500","hsa-miR-26b-3p"
"MIMAT0004502","MIMAT0004502","MIMAT0004502","hsa-miR-28-3p"
"MIMAT0000088","MIMAT0000088","MIMAT0000088","hsa-miR-30a-3p"
"MIMAT0000090","MIMAT0000090","MIMAT0000090","hsa-miR-32-5p"
"MIMAT0000096","MIMAT0000096","MIMAT0000096","hsa-miR-98-5p"
"MIMAT0000099","MIMAT0000099","MIMAT0000099","hsa-miR-101-3p"
"MIMAT0000227","MIMAT0000227","MIMAT0000227","hsa-miR-197-3p"
"MIMAT0000232","MIMAT0000232","MIMAT0000232","hsa-miR-199a-3p"
"MIMAT0004549","MIMAT0004549","MIMAT0004549","hsa-miR-148a-5p"
"MIMAT0000243","MIMAT0000243","MIMAT0000243","hsa-miR-148a-3p"
"MIMAT0000245","MIMAT0000245","MIMAT0000245","hsa-miR-30d-5p"
"MIMAT0000253","MIMAT0000253","MIMAT0000253","hsa-miR-10a-5p"
"MIMAT0004558","MIMAT0004558","MIMAT0004558","hsa-miR-181a-2-3p"
"MIMAT0004563","MIMAT0004563","MIMAT0004563","hsa-miR-199b-3p"
